Plot,Age class,Simplified age class
CG1-157A,60-79,
CG1-157B,60-79,
CG1-157C,60-79,
CG1-67A,100+,
CG1-67B,100+,
CG1-87A,60-79,
CG1-87B,60-79,
CG2-1A,80-99,
CG2-1B,80-99,
CG3-10A,100+,
CG3-10B,80-99,
CG3-10C,100+,
CG3-22A,60-79,
CG3-22B,60-79,
CG3-2A,80-99,
CG3-2B,100+,
CG3-2C,60-79,
CG3-30A,100+,
CG3-30B,60-79,
CG3-30C,100+,
CG3-37A,100+,
CG3-37B,80-99,
CG3-37C,100+,
F1-18A,40-59,
F1-18B,40-59,
F1-22A,40-59,
F1-22B,40-59,
F1-22C,100+,
F9-11A,20-39,
F9-11B,20-39,
F9-15A,20-39,
F9-15B,40-59,
F9-2C,80-99,
F9-6A,100+,
F9-6B,100+,
F9-6C,100+,
F9-9A,20-39,
